"Footprint","Part Value","LCSC Part"
"C_0402_1005Metric","1u","C52923"
"C_0402_1005Metric","1uF/25V","C52923"
"C_0402_1005Metric","10p","C32949"
"C_0603_1608Metric","10u","C96446"
"C_0603_1608Metric","10uF/25V","C96446"
"D_SOD-323","1N5819WS","C191023"
"FFC-SMD_22P-P0.50-P0.50_LW05201-22","LW05201-22","C375902"
"IND-SMD_L5.0-W5.0","10uH/<250mÎ©","C963773"
"R_0402_1005Metric","1M","C26083"
"R_0402_1005Metric","10k","C25744"
"R_0402_1005Metric","100k","C25741"
"SOT-23","2N7002","C8545"
"SOT-23-3","XC6206P332MR","C5446"
"SOT-23-5","TPS61040DBV","C7722"
"TE_2-1734839-2_1x22-1MP_P0.5mm_Horizontal","Conn_01x23","C375902"
